Issuer,Coupon,Maturity,Price,Yield,Day
Canada,0.5,2019-Feb-01,99.93,1.5,1
Canada,1.75,2019-Mar-01,100.02,1.65,1
Canada,0.75,2019-May-01,99.73,1.62,1
Canada,3.75,2019-Jun-01,100.8,1.69,1
Canada,0.75,2019-Aug-01,99.45,1.74,1
Canada,1.75,2019-Sep-01,99.99,1.77,1
Canada,1.25,2019-Nov-01,99.57,1.79,1
Canada,1.25,2020-Feb-01,99.42,1.8,1
Canada,1.5,2020-Mar-01,99.65,1.81,1
Canada,1.75,2020-May-01,99.92,1.81,1
Canada,3.5,2020-Jun-01,102.31,1.81,1
Canada,1.75,2020-Aug-01,99.88,1.83,1
Canada,0.75,2020-Sep-01,98.26,1.83,1
Canada,2,2020-Nov-01,100.28,1.84,1
Canada,2.25,2021-Feb-01,100.83,1.84,1
Canada,0.75,2021-Mar-01,97.72,1.84,1
Canada,3.25,2021-Jun-01,103.28,1.84,1
Canada,9.75,2021-Jun-01,118.54,1.81,1
Canada,0.75,2021-Sep-01,97.19,1.84,1
Canada,0.5,2022-Mar-01,95.9,1.85,1
Canada,2.75,2022-Jun-01,102.99,1.84,1
Canada,9.25,2022-Jun-01,124.37,1.82,1
Canada,1,2022-Sep-01,97.02,1.85,1
Canada,1.75,2023-Mar-01,99.62,1.85,1
Canada,1.5,2023-Jun-01,98.58,1.84,1
Canada,8,2023-Jun-01,125.92,1.83,1
Canada,2,2023-Sep-01,100.71,1.84,1
Canada,2.25,2024-Mar-01,101.96,1.85,1
Canada,2.5,2024-Jun-01,103.33,1.85,1
Canada,2.25,2025-Jun-01,102.32,1.86,1
Canada,9,2025-Jun-01,142.94,1.85,1
Canada,1.5,2026-Jun-01,97.34,1.89,1
Canada,1,2027-Jun-01,93,1.91,1
Canada,8,2027-Jun-01,147.12,1.9,1
Canada,2,2028-Jun-01,100.7,1.92,1
Canada,2.25,2029-Jun-01,102.94,1.94,1
Canada,5.75,2029-Jun-02,135.62,1.95,1
Canada,5.75,2033-Jun-01,146.28,2.03,1
Canada,5,2037-Jun-01,144.36,2.08,1
Canada,4,2041-Jun-01,133.14,2.13,1
Canada,3.5,2045-Dec-01,127.85,2.13,1
Canada,2.75,2048-Dec-01,113.81,2.12,1
Canada,2,2051-Dec-01,97.06,2.12,1
Canada,2.75,2064-Dec-01,119.4,2.09,1
Canada,0.5,2019-Feb-01,99.93,1.61,2
Canada,1.75,2019-Mar-01,100.02,1.66,2
Canada,0.75,2019-May-01,99.72,1.67,2
Canada,3.75,2019-Jun-01,100.79,1.7,2
Canada,0.75,2019-Aug-01,99.43,1.77,2
Canada,1.75,2019-Sep-01,99.97,1.8,2
Canada,1.25,2019-Nov-01,99.55,1.82,2
Canada,1.25,2020-Feb-01,99.39,1.83,2
Canada,1.5,2020-Mar-01,99.62,1.84,2
Canada,1.75,2020-May-01,99.88,1.84,2
Canada,3.5,2020-Jun-01,102.26,1.85,2
Canada,1.75,2020-Aug-01,99.82,1.87,2
Canada,0.75,2020-Sep-01,98.21,1.86,2
Canada,2,2020-Nov-01,100.22,1.88,2
Canada,2.25,2021-Feb-01,100.76,1.87,2
Canada,0.75,2021-Mar-01,97.65,1.87,2
Canada,3.25,2021-Jun-01,103.21,1.87,2
Canada,9.75,2021-Jun-01,118.44,1.84,2
Canada,0.75,2021-Sep-01,97.12,1.87,2
Canada,0.5,2022-Mar-01,95.82,1.88,2
Canada,2.75,2022-Jun-01,102.9,1.86,2
Canada,9.25,2022-Jun-01,124.24,1.85,2
Canada,1,2022-Sep-01,96.91,1.88,2
Canada,1.75,2023-Mar-01,99.49,1.88,2
Canada,1.5,2023-Jun-01,98.44,1.87,2
Canada,8,2023-Jun-01,125.76,1.86,2
Canada,2,2023-Sep-01,100.56,1.87,2
Canada,2.25,2024-Mar-01,101.8,1.88,2
Canada,2.5,2024-Jun-01,103.16,1.88,2
Canada,2.25,2025-Jun-01,102.11,1.9,2
Canada,9,2025-Jun-01,142.65,1.89,2
Canada,1.5,2026-Jun-01,97.13,1.92,2
Canada,1,2027-Jun-01,92.8,1.93,2
Canada,8,2027-Jun-01,146.85,1.93,2
Canada,2,2028-Jun-01,100.48,1.94,2
Canada,2.25,2029-Jun-01,102.68,1.96,2
Canada,5.75,2029-Jun-01,135.26,1.98,2
Canada,5.75,2033-Jun-01,145.87,2.05,2
Canada,5,2037-Jun-01,143.82,2.11,2
Canada,4,2041-Jun-01,132.59,2.16,2
Canada,3.5,2045-Dec-01,127.22,2.16,2
Canada,2.75,2048-Dec-01,113.17,2.15,2
Canada,2,2051-Dec-01,96.46,2.15,2
Canada,2.75,2064-Dec-01,118.52,2.12,2
Canada,0.5,2019-Feb-01,99.93,1.58,3
Canada,1.75,2019-Mar-01,100.02,1.66,3
Canada,0.75,2019-May-01,99.72,1.68,3
Canada,3.75,2019-Jun-01,100.78,1.72,3
Canada,0.75,2019-Aug-01,99.43,1.78,3
Canada,1.75,2019-Sep-01,99.96,1.81,3
Canada,1.25,2019-Nov-01,99.54,1.83,3
Canada,1.25,2020-Feb-01,99.38,1.84,3
Canada,1.5,2020-Mar-01,99.6,1.85,3
Canada,1.75,2020-May-01,99.86,1.86,3
Canada,3.5,2020-Jun-01,102.24,1.86,3
Canada,1.75,2020-Aug-01,99.8,1.88,3
Canada,0.75,2020-Sep-01,98.19,1.88,3
Canada,2,2020-Nov-01,100.2,1.88,3
Canada,2.25,2021-Feb-01,100.74,1.88,3
Canada,0.75,2021-Mar-01,97.63,1.89,3
Canada,3.25,2021-Jun-01,103.18,1.88,3
Canada,9.75,2021-Jun-01,118.39,1.85,3
Canada,0.75,2021-Sep-01,97.1,1.88,3
Canada,0.5,2022-Mar-01,95.77,1.89,3
Canada,2.75,2022-Jun-01,102.84,1.88,3
Canada,9.25,2022-Jun-01,124.16,1.86,3
Canada,1,2022-Sep-01,96.87,1.89,3
Canada,1.75,2023-Mar-01,99.43,1.89,3
Canada,1.5,2023-Jun-01,98.38,1.89,3
Canada,8,2023-Jun-01,125.68,1.88,3
Canada,2,2023-Sep-01,100.5,1.89,3
Canada,2.25,2024-Mar-01,101.72,1.9,3
Canada,2.5,2024-Jun-01,103.08,1.9,3
Canada,2.25,2025-Jun-01,102.02,1.91,3
Canada,9,2025-Jun-01,142.52,1.9,3
Canada,1.5,2026-Jun-01,97.06,1.93,3
Canada,1,2027-Jun-01,92.74,1.94,3
Canada,8,2027-Jun-01,146.71,1.94,3
Canada,2,2028-Jun-01,100.35,1.96,3
Canada,2.25,2029-Jun-01,102.55,1.98,3
Canada,5.75,2029-Jun-01,135.1,1.99,3
Canada,5.75,2033-Jun-01,145.65,2.07,3
Canada,5,2037-Jun-01,143.47,2.13,3
Canada,4,2041-Jun-01,132.22,2.17,3
Canada,3.5,2045-Dec-01,126.83,2.18,3
Canada,2.75,2048-Dec-01,112.81,2.17,3
Canada,2,2051-Dec-01,96.1,2.17,3
Canada,2.75,2064-Dec-01,118.02,2.13,3
Canada,0.5,2019-Feb-01,99.93,1.61,4
Canada,1.75,2019-Mar-01,100.02,1.68,4
Canada,0.75,2019-May-01,99.72,1.7,4
Canada,3.75,2019-Jun-01,100.77,1.73,4
Canada,0.75,2019-Aug-01,99.42,1.8,4
Canada,1.75,2019-Sep-01,99.95,1.83,4
Canada,1.25,2019-Nov-01,99.52,1.85,4
Canada,1.25,2020-Feb-01,99.36,1.86,4
Canada,1.5,2020-Mar-01,99.58,1.87,4
Canada,1.75,2020-May-01,99.84,1.87,4
Canada,3.5,2020-Jun-01,102.21,1.88,4
Canada,1.75,2020-Aug-01,99.78,1.89,4
Canada,0.75,2020-Sep-01,98.17,1.89,4
Canada,2,2020-Nov-01,100.16,1.91,4
Canada,2.25,2021-Feb-01,100.7,1.9,4
Canada,0.75,2021-Mar-01,97.6,1.9,4
Canada,3.25,2021-Jun-01,103.14,1.9,4
Canada,9.75,2021-Jun-01,118.33,1.86,4
Canada,0.75,2021-Sep-01,97.06,1.9,4
Canada,0.5,2022-Mar-01,95.72,1.91,4
Canada,2.75,2022-Jun-01,102.77,1.9,4
Canada,9.25,2022-Jun-01,124.06,1.88,4
Canada,1,2022-Sep-01,96.79,1.92,4
Canada,1.75,2023-Mar-01,99.32,1.92,4
Canada,1.5,2023-Jun-01,98.28,1.91,4
Canada,8,2023-Jun-01,125.54,1.9,4
Canada,2,2023-Sep-01,100.38,1.91,4
Canada,2.25,2024-Mar-01,101.61,1.92,4
Canada,2.5,2024-Jun-01,102.95,1.92,4
Canada,2.25,2025-Jun-01,101.9,1.93,4
Canada,9,2025-Jun-01,142.36,1.92,4
Canada,1.5,2026-Jun-01,96.94,1.95,4
Canada,1,2027-Jun-01,92.6,1.96,4
Canada,8,2027-Jun-01,146.49,1.96,4
Canada,2,2028-Jun-01,100.19,1.98,4
Canada,2.25,2029-Jun-01,102.36,2,4
Canada,5.75,2029-Jun-01,134.92,2.01,4
Canada,5.75,2033-Jun-01,145.44,2.08,4
Canada,5,2037-Jun-01,143.17,2.15,4
Canada,4,2041-Jun-01,131.92,2.19,4
Canada,3.5,2045-Dec-01,126.52,2.19,4
Canada,2.75,2048-Dec-01,112.52,2.18,4
Canada,2,2051-Dec-01,95.82,2.18,4
Canada,2.75,2064-Dec-01,117.62,2.14,4
Canada,0.5,2019-Feb-01,99.95,1.51,5
Canada,1.75,2019-Mar-01,100.02,1.68,5
Canada,0.75,2019-May-01,99.73,1.69,5
Canada,3.75,2019-Jun-01,100.75,1.74,5
Canada,0.75,2019-Aug-01,99.43,1.8,5
Canada,1.75,2019-Sep-01,99.95,1.83,5
Canada,1.25,2019-Nov-01,99.53,1.85,5
Canada,1.25,2020-Feb-01,99.36,1.86,5
Canada,1.5,2020-Mar-01,99.59,1.87,5
Canada,1.75,2020-May-01,99.84,1.88,5
Canada,3.5,2020-Jun-01,102.2,1.88,5
Canada,1.75,2020-Aug-01,99.78,1.89,5
Canada,0.75,2020-Sep-01,98.18,1.89,5
Canada,2,2020-Nov-01,100.16,1.91,5
Canada,2.25,2021-Feb-01,100.7,1.9,5
Canada,0.75,2021-Mar-01,97.61,1.9,5
Canada,3.25,2021-Jun-01,103.13,1.9,5
Canada,9.75,2021-Jun-01,118.28,1.86,5
Canada,0.75,2021-Sep-01,97.07,1.9,5
Canada,0.5,2022-Mar-01,95.73,1.91,5
Canada,2.75,2022-Jun-01,102.76,1.9,5
Canada,9.25,2022-Jun-01,124.01,1.88,5
Canada,1,2022-Sep-01,96.8,1.92,5
Canada,1.75,2023-Mar-01,99.33,1.92,5
Canada,1.5,2023-Jun-01,98.28,1.91,5
Canada,8,2023-Jun-01,125.49,1.9,5
Canada,2,2023-Sep-01,100.39,1.91,5
Canada,2.25,2024-Mar-01,101.61,1.92,5
Canada,2.5,2024-Jun-01,102.95,1.92,5
Canada,2.25,2025-Jun-01,101.89,1.93,5
Canada,9,2025-Jun-01,142.31,1.92,5
Canada,1.5,2026-Jun-01,96.96,1.94,5
Canada,1,2027-Jun-01,92.64,1.96,5
Canada,8,2027-Jun-01,146.51,1.96,5
Canada,2,2028-Jun-01,100.21,1.98,5
Canada,2.25,2029-Jun-01,102.4,1.99,5
Canada,5.75,2029-Jun-01,134.89,2.01,5
